"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://irishealing.com/wp-content/uploads/2024/08/iStock-1447968466-300x200-1.webp","image/webp","6608","3","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/ivob.mhr_.jfhi_-300x200-1.webp","image/webp","4476","3","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/iStock-1473559425-300x200-1.webp","image/webp","6022","3","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/iStock-554392555-300x200-1.webp","image/webp","7720","3","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/jfhi.mhr_.rr_-300x200-1.webp","image/webp","6776","3","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/jfhi.mhr_.ir_-500x360.jpg","image/jpeg","24933","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/ivob.ir_-scaled-1-500x360.jpg","image/jpeg","29100","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/TMS-for-Chronic-Pain-5.webp","image/webp","198618","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/TMS-for-Chronic-Pain-7-01-scaled.jpg","image/jpeg","334759","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/TMS-for-PTSD-5-01-scaled.jpg","image/jpeg","480008","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/TMS-for-PTSD-6.jpg","image/jpeg","127562","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/iStock-1080103184-scaled-1-500x360.jpg","image/jpeg","23458","2","Indexable","",""
